time,error_connect_eaddrinuse,error_abort_max_conn_retries,error_connect_etimedout,error_connect_eaddrnotavail 
2770,0.1,,30.6, 
2780,0,,26.5, 
2790,0,,29.4, 
2800,0,,27.2, 
2810,0,,27, 
2820,0,,27, 
2830,0.1,,31.7, 
2840,0,,30.6, 
2850,0,,28.2, 
2860,0,,28.2, 
2870,0,,27.4, 
2880,0,,32, 
2890,0,,29.6, 
2900,0,,27.4, 
2910,0,,29.2, 
2920,0,,27.6, 
2930,0,,29.5, 
2940,0,,29, 
2950,0,,29, 
2960,0,,29.8, 
2970,0,,30.5, 
2980,0,,29.3, 
2990,0,,27.2, 
3000,0,,26.4, 
3010,0,,28.1, 
3020,0,,28.4, 
3030,0,,28.4, 
3040,0,,29.1, 
3050,0,,27.4, 
3060,0,,30.7, 
3070,0,,28.9, 
3080,0,,27.5, 
3090,0,,31.1, 
3100,0,,31.2, 
3110,0,,30.6, 
3120,0,,26.5, 
3130,0,,27.6, 
3140,0,,32, 
3150,0,,29.6, 
3160,0,,29.2, 
3170,0,,28.2, 
3180,0,,30.8, 
3190,0,,30.8, 
3200,0,,27.8, 
3210,0,,27.2, 
3220,0,,29.3, 
3230,0,,30.2, 
3240,0,,28.4, 
3250,0,,27.3, 
3260,0,,29.6, 
3270,0,,31.8, 
3280,0,,31.5, 
3290,0,,28.6, 
3300,0,,27.5, 
3310,0,,28.4, 
3320,0,,26.5, 
3330,0,,28.1, 
3340,0,,30, 
3350,0,,28, 
3360,0,,29.1, 
3370,0,,29.8, 
3380,0,,29.9, 
3390,0,,28.9, 
3400,0,,27.6, 
3410,0,,29.1, 
3420,0,,28.7, 
3430,0,,30.1, 
3440,0,,30.4, 
3450,0,,30.3, 
3460,0,,24.4, 
3470,0,,28.6, 
3480,0,,29.9, 
3490,0,,29.6, 
3500,0,,28.9, 
3510,0,,29.6, 
3520,0,,28.1, 
3530,0,,29.4, 
3540,0,,29.1, 
3550,0,,29.1, 
3560,0,,29, 
3570,0,,29.5, 
3580,0,,27.2, 
3590,0,,28.4, 
3600,0,,26.8, 
3610,0,,31.8, 
3620,0,,29.1, 
3630,0,,29, 
3640,0,,29.4, 
3650,0,,30.6, 
3660,0,,29.1, 
3670,0,,30.6, 
3680,0,,31.6, 
3690,0,,30.4, 
3700,0,,27.8, 
3710,0,,31.5, 
3720,0,,28, 
3730,0,,29.7, 
3740,0,,28.5, 
3750,0,,29.3, 
3760,0,,27.4, 
3770,0,,27.7, 
3780,0,,28.2, 
3790,0,,28.3, 
3800,0,,28.7, 
3810,0,,29.7, 
3820,0,,32.6, 
3830,0,,28.8, 
3840,0,,30.6, 
3850,0,,29.2, 
3860,0,,29.5, 
3870,0,,30.4, 
3880,0,,31.3, 
3890,0,,27.4, 
3900,0,,29.2, 
3910,0,,28.5, 
3920,0,,30.3, 
3930,0,,28.5, 
3940,0,,27.4,13.8 
3950,0,,28.1,55.3 
3960,0,0.1,30.7,51.6 
3970,0,0,30.8,142.1 
3980,0,0.2,39.1,309.1 
3990,0,0.7,28.2,333.8 
4000,0,0.2,29.3,366.2 
4010,0,0.3,29.4,347.1 
4020,0,0.8,30.2,378.1 
4030,0,0.6,29.2,341.6 
4040,0,0.2,26.5,337.2 
4050,0,0.6,30.8,354.2 
4060,0,0.6,29.5,360.4 
4070,0,0.2,35.2,378.6 
4080,0,0.6,39.4,372.7 
4090,0,0.8,47,429.1 
4100,0,1.2,73,501.5 
4110,0,1.8,108.1,568.5 
4120,0,2.6,119.1,603.3 
4130,0,2.6,120.1,585.5 
4140,0,2.9,121.3,627.8 
4150,0,2.9,118.2,618.1 
4160,0,1.6,112,594.8 
4170,0,2.6,116.7,613 
4180,0,2.4,119.2,597.7 
4190,0,2.8,117.2,596.5 
4200,0,3.6,128.5,647.6 
4210,0,3.6,130.3,657.9 
4220,0,3.9,142.4,687.2 
4230,0,6.8,168.9,738.3 
4240,0,8.7,196.1,840 
4250,0,7.6,207.2,856.7 
4260,0,8.7,202.2,866 
4270,0,7.8,211.4,828.9 
4280,0,7.7,202.3,870 
4290,0,8.3,195.3,826.5 
4300,0,8.4,196.8,847.2 
4310,0,9,205.9,849 
4320,0,9.2,202.2,865.2 
4330,0,10.2,217.3,919.3 
4340,0,11.1,218.6,904.4 
4350,0,12.6,232.9,907 
4360,0,16.1,257.4,967.2 
4370,0,20.5,281.4,1041.3 
4380,0,23.8,281.3,1061.5 
4390,0,20.7,286.5,1070.2 
4400,0,21.2,285.7,1052.6 
4410,0,23.2,287.2,1060.5 
4420,0,18.9,272.5,1004.7 
4430,0,22.1,283.5,1051.6 
4440,0,22.1,283.5,1059.4 
4450,0,23.1,284.7,1044 
4460,0,24.8,293.1,1055.2 
4470,0,23.2,300.7,1103.4 
4480,0,27.4,314.5,1131.8 
4490,0,34.8,329.9,1168.7 
4500,0,34.8,351,1205.5 
4510,0,40.1,352.4,1188.4 
4520,0,38.3,353.9,1174.3 
4530,0,38.5,355.6,1226.8 
4540,0,34.9,339.7,1178.5 
4550,0,42,342.1,1148.6 
4560,0,38.2,347.5,1189.2 
4570,0,38.2,346.4,1178.2 
4580,0,38.3,351.3,1226.1 
4590,0,40.4,356.4,1207.3 
4600,0,45.7,364.4,1201.8 
4610,0,47.1,371.2,1266 
4620,0,54.2,391,1295.3 
4630,0,56.4,401,1312.8 
4640,0,57.8,397,1319.6 
4650,0,55,429.5,1291 
4660,0,57.5,445.4,1325.6 
4670,0,55.3,399,1289.5 
4680,0,52,398.8,1267.4 
4690,0,55.7,401.3,1304 
4700,0,54.6,396.4,1288.1 
4710,0,56.4,403.6,1279.5 
4720,0,53.3,398.1,1308.7 
4730,0,59.6,417.5,1308.3 
4740,0,67.2,412.6,1295.8 
4750,0,75.1,431.5,1370.9 
4760,0,71.3,431.5,1374.3 
