time,error_connect_eaddrinuse,error_abort_max_conn_retries,error_connect_etimedout,error_connect_eaddrnotavail 
2770,1,,74206, 
2780,1,,74471, 
2790,1,,74765, 
2800,1,,75037, 
2810,1,,75307, 
2820,1,,75577, 
2830,2,,75894, 
2840,2,,76200, 
2850,2,,76482, 
2860,2,,76764, 
2870,2,,77038, 
2880,2,,77358, 
2890,2,,77654, 
2900,2,,77928, 
2910,2,,78220, 
2920,2,,78496, 
2930,2,,78791, 
2940,2,,79081, 
2950,2,,79371, 
2960,2,,79669, 
2970,2,,79974, 
2980,2,,80267, 
2990,2,,80539, 
3000,2,,80803, 
3010,2,,81084, 
3020,2,,81368, 
3030,2,,81652, 
3040,2,,81943, 
3050,2,,82217, 
3060,2,,82524, 
3070,2,,82813, 
3080,2,,83088, 
3090,2,,83399, 
3100,2,,83711, 
3110,2,,84017, 
3120,2,,84282, 
3130,2,,84558, 
3140,2,,84878, 
3150,2,,85174, 
3160,2,,85466, 
3170,2,,85748, 
3180,2,,86056, 
3190,2,,86364, 
3200,2,,86642, 
3210,2,,86914, 
3220,2,,87207, 
3230,2,,87509, 
3240,2,,87793, 
3250,2,,88066, 
3260,2,,88362, 
3270,2,,88680, 
3280,2,,88995, 
3290,2,,89281, 
3300,2,,89556, 
3310,2,,89840, 
3320,2,,90105, 
3330,2,,90386, 
3340,2,,90686, 
3350,2,,90966, 
3360,2,,91257, 
3370,2,,91555, 
3380,2,,91854, 
3390,2,,92143, 
3400,2,,92419, 
3410,2,,92710, 
3420,2,,92997, 
3430,2,,93298, 
3440,2,,93602, 
3450,2,,93905, 
3460,2,,94149, 
3470,2,,94435, 
3480,2,,94734, 
3490,2,,95030, 
3500,2,,95319, 
3510,2,,95615, 
3520,2,,95896, 
3530,2,,96190, 
3540,2,,96481, 
3550,2,,96772, 
3560,2,,97062, 
3570,2,,97357, 
3580,2,,97629, 
3590,2,,97913, 
3600,2,,98181, 
3610,2,,98499, 
3620,2,,98790, 
3630,2,,99080, 
3640,2,,99374, 
3650,2,,99680, 
3660,2,,99971, 
3670,2,,100277, 
3680,2,,100593, 
3690,2,,100897, 
3700,2,,101175, 
3710,2,,101490, 
3720,2,,101770, 
3730,2,,102067, 
3740,2,,102352, 
3750,2,,102645, 
3760,2,,102919, 
3770,2,,103196, 
3780,2,,103478, 
3790,2,,103761, 
3800,2,,104048, 
3810,2,,104345, 
3820,2,,104671, 
3830,2,,104959, 
3840,2,,105265, 
3850,2,,105557, 
3860,2,,105852, 
3870,2,,106156, 
3880,2,,106469, 
3890,2,,106743, 
3900,2,,107035, 
3910,2,,107320, 
3920,2,,107623, 
3930,2,,107908, 
3940,2,,108182,138 
3950,2,,108463,691 
3960,2,1,108770,1207 
3970,2,1,109078,2628 
3980,2,3,109469,5719 
3990,2,10,109751,9057 
4000,2,12,110044,12719 
4010,2,15,110338,16190 
4020,2,23,110640,19971 
4030,2,29,110932,23387 
4040,2,31,111197,26759 
4050,2,37,111505,30301 
4060,2,43,111800,33905 
4070,2,45,112152,37691 
4080,2,51,112546,41418 
4090,2,59,113016,45709 
4100,2,71,113746,50724 
4110,2,89,114827,56409 
4120,2,115,116018,62442 
4130,2,141,117219,68297 
4140,2,170,118432,74575 
4150,2,199,119614,80756 
4160,2,215,120734,86704 
4170,2,241,121901,92834 
4180,2,265,123093,98811 
4190,2,293,124265,104776 
4200,2,329,125550,111252 
4210,2,365,126853,117831 
4220,2,404,128277,124703 
4230,2,472,129966,132086 
4240,2,559,131927,140486 
4250,2,635,133999,149053 
4260,2,722,136021,157713 
4270,2,800,138135,166002 
4280,2,877,140158,174702 
4290,2,960,142111,182967 
4300,2,1044,144079,191439 
4310,2,1134,146138,199929 
4320,2,1226,148160,208581 
4330,2,1328,150333,217774 
4340,2,1439,152519,226818 
4350,2,1565,154848,235888 
4360,2,1726,157422,245560 
4370,2,1931,160236,255973 
4380,2,2169,163049,266588 
4390,2,2376,165914,277290 
4400,2,2588,168771,287816 
4410,2,2820,171643,298421 
4420,2,3009,174368,308468 
4430,2,3230,177203,318984 
4440,2,3451,180038,329578 
4450,2,3682,182885,340018 
4460,2,3930,185816,350570 
4470,2,4162,188823,361604 
4480,2,4436,191968,372922 
4490,2,4784,195267,384609 
4500,2,5132,198777,396664 
4510,2,5533,202301,408548 
4520,2,5916,205840,420291 
4530,2,6301,209396,432559 
4540,2,6650,212793,444344 
4550,2,7070,216214,455830 
4560,2,7452,219689,467722 
4570,2,7834,223153,479504 
4580,2,8217,226666,491765 
4590,2,8621,230230,503838 
4600,2,9078,233874,515856 
4610,2,9549,237586,528516 
4620,2,10091,241496,541469 
4630,2,10655,245506,554597 
4640,2,11233,249476,567793 
4650,2,11783,253771,580703 
4660,2,12358,258225,593959 
4670,2,12911,262215,606854 
4680,2,13431,266203,619528 
4690,2,13988,270216,632568 
4700,2,14534,274180,645449 
4710,2,15098,278216,658244 
4720,2,15631,282197,671331 
4730,2,16227,286372,684414 
4740,2,16899,290498,697372 
4750,2,17650,294813,711081 
4760,2,18363,299128,724824 
4770,2,19077,303506,738525 
4780,2,19756,307812,751756 
