time,websocket_succ 
50,349.6 
60,475.3 
70,466.2 
80,478.3 
90,486.6 
100,486.6 
110,481 
120,482.7 
130,481.7 
140,481.8 
150,497.8 
160,482.7 
170,469.7 
180,492.2 
190,492.8 
200,493 
210,497.7 
220,502.8 
230,505.3 
240,507.4 
250,496.1 
260,497.7 
270,501 
280,514 
290,507.7 
300,497.4 
310,508.2 
320,469.5 
330,499 
340,502.2 
350,502.4 
360,492.9 
370,496.9 
380,495.9 
390,493.5 
400,510 
410,510.9 
420,501.5 
430,513.5 
440,496.6 
450,491.9 
460,497.2 
470,511.1 
480,499.2 
490,489.8 
500,500.6 
510,498.1 
520,508.6 
530,494.5 
540,493.5 
550,498.2 
560,497 
570,472.6 
580,497.6 
590,489.3 
600,489.8 
610,507.1 
620,511.9 
630,491.3 
640,492.3 
650,492.8 
660,505.6 
670,509.5 
680,504.8 
690,505.6 
700,499.4 
710,501.2 
720,494.1 
730,496.7 
740,498.6 
750,493.2 
760,515.9 
770,494.1 
780,496.4 
790,498.9 
800,499.2 
810,492.6 
820,495 
830,506.4 
840,507.9 
850,515.4 
860,487.2 
870,499.9 
880,497 
890,492 
900,492.9 
910,512.6 
920,483.4 
930,493.9 
940,517.7 
950,504.6 
960,493.4 
970,505.1 
980,505.4 
990,523.4 
1000,505.8 
1010,497.6 
1020,505.6 
1030,491.7 
1040,501.6 
1050,508.7 
1060,496.1 
1070,501 
1080,500 
1090,488.7 
1100,517 
1110,486.9 
1120,499.9 
1130,500.6 
1140,494.1 
1150,510.5 
1160,500.2 
1170,498.5 
1180,496.7 
1190,493.9 
1200,497.2 
1210,516.9 
1220,495.5 
1230,492 
1240,514.6 
1250,505.7 
1260,506 
1270,512.2 
1280,492.3 
1290,490.4 
1300,484.4 
1310,482.7 
1320,514.5 
1330,520.8 
1340,491.9 
1350,490.5 
1360,509.6 
1370,502.9 
1380,488.4 
1390,512.1 
1400,512.1 
1410,498.2 
1420,491.8 
1430,509.3 
1440,513.9 
1450,504.7 
1460,489.6 
1470,512.9 
1480,500 
1490,483.3 
1500,499.1 
1510,504.7 
1520,498.7 
1530,511.1 
1540,512.7 
1550,483 
1560,504.4 
1570,476.6 
1580,515 
1590,491.6 
1600,500.1 
1610,502.5 
1620,517.4 
1630,480.3 
1640,479.4 
1650,507.5 
1660,495.1 
1670,515.3 
1680,503.9 
1690,504 
1700,489.9 
1710,499.3 
1720,486 
1730,516.7 
1740,504.7 
1750,506.4 
1760,469.6 
1770,525.5 
1780,488.8 
1790,503.8 
1800,485.9 
1810,505.4 
1820,485.9 
1830,510.5 
1840,493.3 
1850,521 
1860,485 
1870,518.9 
1880,491.9 
1890,505.8 
1900,511.1 
1910,506.9 
1920,484.2 
1930,500.2 
1940,513.3 
1950,500.8 
1960,487 
1970,476.6 
1980,498.7 
1990,514.1 
2000,494.3 
2010,514.2 
2020,478.9 
2030,498 
2040,503.1 
2050,509.4 
2060,502.7 
2070,487.8 
2080,485.5 
2090,498.5 
2100,518.9 
2110,511.9 
2120,504.7 
2130,495.1 
2140,520.1 
2150,492 
2160,476.3 
2170,515.5 
2180,513 
2190,495 
2200,473.2 
2210,524.4 
2220,499.1 
2230,490.1 
2240,516.6 
2250,509.2 
2260,506.2 
2270,457.9 
2280,505.6 
2290,502.9 
2300,488 
2310,486.5 
2320,501.5 
2330,485.9 
2340,498.7 
2350,523.4 
2360,517.9 
2370,507.7 
2380,501.5 
2390,486.8 
2400,505.7 
2410,497.6 
2420,502.5 
2430,528.4 
2440,503.4 
2450,498.8 
2460,492.6 
2470,503.6 
2480,502.5 
2490,490 
2500,517.3 
2510,511.9 
2520,484.4 
2530,497.8 
2540,511.8 
2550,465.6 
2560,535.1 
