time,connect,request 
50,349.8,699.1 
60,475.2,950.4 
70,466.3,932.4 
80,478.5,955.7 
90,486.6,973.6 
100,486.7,972.4 
110,481,962.5 
120,483.2,965 
130,482.6,964.3 
140,480.2,963.2 
150,498.9,995.2 
160,482.2,965.4 
170,470.1,938 
180,493.4,985 
190,491.2,983.9 
200,493.1,987.5 
210,499.3,995.5 
220,502.1,1003.8 
230,504.6,1011.5 
240,508.9,1011.7 
250,497.8,994.5 
260,496.2,995.3 
270,503.2,1002.3 
280,510.8,1029.5 
290,507.3,1013.8 
300,499.2,993.2 
310,507.6,1016.4 
320,471.1,938.3 
330,499.4,997.9 
340,499.1,1007 
350,502.1,1003.6 
360,494,984.4 
370,500.1,993.8 
380,492.2,996.5 
390,496.6,981.5 
400,507,1021.2 
410,513,1021.9 
420,499.1,1003 
430,514.1,1026.1 
440,498,993.6 
450,492.7,986.7 
460,494.8,991.8 
470,513.6,1019 
480,496.5,999.5 
490,497.2,979.2 
500,496.4,1002.2 
510,496,996.5 
520,510,1015.9 
530,494.5,990.5 
540,494.8,985.4 
550,499.1,993.8 
560,495.7,996.1 
570,469.2,943 
580,498.8,993.7 
590,494.6,978.2 
600,486.5,981.4 
610,510.2,1014.9 
620,511.3,1026.8 
630,487.7,978.8 
640,497.6,984.4 
650,493.8,985.7 
660,497.8,1003.9 
670,512.6,1026.6 
680,508.4,1004.1 
690,503.1,1013.6 
700,506.4,997.9 
710,494.8,1009.2 
720,497.6,986.8 
730,498.3,988.3 
740,491.5,995.4 
750,503.3,986.1 
760,507.9,1033.7 
770,493.9,987.5 
780,496.2,989.7 
790,502.6,1003 
800,504,1000 
810,487.9,978.2 
820,499.7,992.8 
830,497.2,1011.3 
840,521.2,1018 
850,507.5,1031.3 
860,486.2,975.1 
870,505.5,996.1 
880,499,997.1 
890,489,983 
900,491.2,985.8 
910,508.2,1025.4 
920,490.2,973.9 
930,493.6,987 
940,509.1,1028.4 
950,506.9,1004.4 
960,496.3,987 
970,512.8,1014 
980,506,1014.2 
990,509.1,1037.4 
1000,509.7,1014.1 
1010,506.9,991.8 
1020,499.5,1015.6 
1030,493.9,985.8 
1040,507.3,1006.4 
1050,496,1011.6 
1060,497.6,994.2 
1070,497.2,997.2 
1080,498.7,1002.6 
1090,503.5,978.4 
1100,503.1,1034.8 
1110,496.6,971.5 
1120,501.4,997.5 
1130,493.4,1000.2 
1140,497.2,992.2 
1150,506.9,1015.2 
1160,507.4,1015.3 
1170,494.2,983.8 
1180,497.9,994.4 
1190,494.1,988.5 
1200,505.4,999.3 
1210,513,1030.9 
1220,487.5,988.4 
1230,505.8,983.8 
1240,506.4,1031.8 
1250,497,1009.4 
1260,505.8,1009.9 
1270,516.9,1023.3 
1280,489.3,986 
1290,488.2,982.8 
1300,499.2,967.7 
1310,481.8,963.1 
1320,505,1029.7 
1330,517.2,1038.2 
1340,496.6,987.2 
1350,499.2,978.8 
1360,514.7,1020.2 
1370,493.9,1003.4 
1380,497.8,976.7 
1390,513.9,1024 
1400,505.3,1028.2 
1410,493.9,992.2 
1420,494.6,986.7 
1430,501.7,1018.5 
1440,511.1,1028.6 
1450,505.1,1006.6 
1460,511.2,982.3 
1470,496,1023.8 
1480,501.3,1001 
1490,500.4,964.1 
1500,491.7,998.6 
1510,505.8,1008.1 
1520,497,1001.7 
1530,507.9,1032.8 
1540,498.9,1007.5 
1550,494.6,963.5 
1560,495.6,1014.1 
1570,488.3,955.1 
1580,503.4,1024.1 
1590,499.6,990.8 
1600,500.7,996.7 
1610,503.5,999.4 
1620,510.4,1038.6 
1630,479.2,959.6 
1640,490.4,958.2 
1650,503.7,1018 
1660,507.6,985.3 
1670,504.5,1037.1 
1680,490.8,1003 
1690,507.7,1008.5 
1700,495.1,977.5 
1710,495.1,997.5 
1720,507.3,982.6 
1730,496.6,1023 
1740,506.1,1015.1 
1750,497.7,1009.2 
1760,493.3,947.3 
1770,505.1,1045.6 
1780,499,971.4 
1790,491.6,1009.1 
1800,490.5,971.9 
1810,510.1,1008.1 
1820,500.6,982.3 
1830,504.1,1014.3 
1840,500.5,983.6 
1850,510.4,1042.7 
1860,497.3,973.8 
1870,502.4,1011.6 
1880,503.4,1007.5 
1890,508.3,1004.4 
1900,494.7,1035.4 
1910,504.3,1007.8 
1920,505.7,959.3 
1930,496.3,1003.5 
1940,509.6,1026.5 
1950,494.9,1006.2 
1960,498,966.9 
1970,477.2,953.2 
1980,497.5,1021 
1990,497.4,1010 
2000,510.6,988.3 
2010,497.7,1031.3 
2020,500.1,959 
2030,496.6,990.8 
2040,495,1008.5 
2050,504.5,1017 
2060,495,1005.2 
