time,session 
3960,0.1 
3970,0 
3980,0.2 
3990,0.7 
4000,0.2 
4010,0.3 
4020,0.8 
4030,0.6 
4040,0.2 
4050,0.6 
4060,0.6 
4070,0.3 
4080,0.5 
4090,0.8 
4100,1.3 
4110,1.8 
4120,2.6 
4130,2.5 
4140,2.9 
4150,2.9 
4160,1.6 
4170,3 
4180,2.1 
4190,2.7 
4200,3.6 
4210,3.7 
4220,3.8 
4230,7.2 
4240,8.5 
4250,7.4 
4260,9 
4270,7.5 
4280,7.9 
4290,8.6 
4300,8.3 
4310,9.2 
4320,8.9 
4330,10.2 
4340,11.1 
4350,12.6 
4360,16.8 
4370,20.5 
4380,23.5 
4390,20.3 
4400,21.6 
4410,22.9 
4420,18.9 
4430,22.1 
4440,22.4 
4450,23 
4460,24.7 
4470,23 
4480,28 
4490,34.4 
4500,34.8 
4510,40.1 
4520,37.9 
4530,39.3 
4540,35.1 
4550,42.1 
4560,38.8 
4570,37.3 
4580,39.4 
4590,39.9 
4600,45.5 
4610,48.2 
4620,52.9 
4630,56.7 
4640,58 
4650,55.3 
4660,57.3 
4670,54.3 
4680,52.3 
4690,55.5 
4700,55.7 
4710,55.6 
4720,53.1 
4730,60 
4740,67 
4750,74.9 
4760,71.4 
4770,71 
4780,68.5 
