time,size_rcv,size_sent 
50,611.72578125,786.08046875 
60,831.6265625,1069.26875 
70,815.85,1051.72890625 
80,836.35703125,1080.22421875 
90,851.846875,1098.6515625 
100,850.95625,1098.8078125 
110,842.12109375,1086.0078125 
120,844.428125,1090.62734375 
130,843.64296875,1088.99453125 
140,842.853125,1085.3140625 
150,870.853125,1125.6578125 
160,844.725,1089.06484375 
170,820.9359375,1061.11953125 
180,861.7953125,1113.0125 
190,861.13828125,1109.95390625 
200,863.86328125,1113.325 
210,871.04921875,1126.21328125 
220,878.5640625,1134.134375 
230,884.94296875,1139.77890625 
240,885.64921875,1147.9578125 
250,869.88203125,1125.94921875 
260,870.90078125,1125.12890625 
270,876.97265625,1138.3890625 
280,900.61328125,1159.39609375 
290,887.2875,1149.50703125 
300,869.2625,1129.5796875 
310,889.35,1150.20078125 
320,821.10546875,1066.10703125 
330,873.17578125,1131.003125 
340,880.7796875,1132.7859375 
350,878.309375,1137.6234375 
360,861.5359375,1118.28828125 
370,869.575,1130.63359375 
380,871.31328125,1117.70859375 
390,859.54296875,1122.8953125 
400,893.390625,1150.7453125 
410,894.14921875,1160.7625 
420,877.625,1132.4296875 
430,897.95703125,1164.2890625 
440,869.346875,1127.25703125 
450,862.97734375,1115.66953125 
460,868.1703125,1122.6765625 
470,892.05,1161.83046875 
480,874.41640625,1126.74453125 
490,856.853125,1121.2328125 
500,876.7921875,1127.58359375 
510,871.89765625,1125.2203125 
520,889.08515625,1154.47734375 
530,866.48828125,1120.3421875 
540,862.4375,1120.1078125 
550,869.9203125,1130.1359375 
560,871.30859375,1123.96796875 
570,825.4171875,1064.93828125 
580,869.68671875,1129.084375 
590,855.978125,1116.84609375 
600,858.4859375,1104.5375 
610,887.94453125,1153.734375 
620,898.0515625,1158.8265625 
630,856.9546875,1107.47265625 
640,861.3765625,1123.64765625 
650,862.47421875,1118.0625 
660,880.27265625,1133.78046875 
670,896.375,1158.240625 
680,879.31796875,1146.81015625 
690,886.58125,1139.871875 
700,873.28203125,1141.91796875 
710,882.146875,1125.53046875 
720,863.6359375,1124.9109375 
730,865.43984375,1127.8328125 
740,871.2140625,1118.54375 
750,862.87734375,1133.18359375 
760,904.23515625,1156.33515625 
770,864.15546875,1119.1328125 
780,866.39921875,1124.34296875 
790,876.934375,1136.1015625 
800,874.7875,1138.5 
810,856.8546875,1108.70234375 
820,868.328125,1128.828125 
830,885.08671875,1132.9375 
840,890.4578125,1171.49140625 
850,902.32109375,1155.35859375 
860,853.11953125,1102.24921875 
870,872.07890625,1141.33515625 
880,872.05078125,1129.140625 
890,860.2578125,1110 
900,862.575,1114.0703125 
910,897.1984375,1154.484375 
920,851.21953125,1105.828125 
930,863.73125,1118.5234375 
940,900.7796875,1159.4765625 
950,879.4875,1146.8265625 
960,863.5984375,1122.390625 
970,886.7453125,1156.3984375 
980,886.9734375,1145.984375 
990,908.9734375,1163.484375 
1000,887.00546875,1152.04609375 
1010,868.2765625,1141.90625 
1020,888.065625,1135.96875 
1030,862.25625,1117.4453125 
1040,880.175,1145.34375 
1050,885.9203125,1132.6796875 
1060,869.659375,1126.31953125 
1070,873.1875,1129.140625 
1080,876.9296875,1130.78125 
1090,855.9671875,1130.3359375 
1100,905.34375,1149.609375 
1110,850.36796875,1118.28828125 
1120,873.11796875,1134.9296875 
1130,875.3078125,1122.921875 
1140,867.64375,1124.2890625 
1150,889.0703125,1150.9765625 
1160,886.40859375,1144.515625 
1170,862.578125,1122.6953125 
1180,869.9671875,1127.2109375 
1190,864.84453125,1119.3046875 
1200,873.73671875,1139.28125 
1210,902.42265625,1165.0078125 
1220,865.1953125,1110.1171875 
1230,860.8515625,1136.25 
1240,902.4796875,1153.078125 
1250,883.490625,1131.9921875 
1260,883.94140625,1146.234375 
1270,895.53359375,1167.796875 
1280,862.5640625,1110.6796875 
1290,859.684375,1107.625 
1300,846.88359375,1120.59375 
1310,843.01796875,1092.2109375 
1320,900.89453125,1150.8203125 
1330,908.8765625,1174.3125 
1340,863.3484375,1121.8046875 
1350,856.7421875,1124.8828125 
1360,892.5421875,1162.53125 
1370,878.29375,1125.3203125 
1380,854.62578125,1121.21875 
1390,896.0265625,1163.0390625 
1400,899.14375,1149.6015625 
1410,868.7328125,1122.015625 
1420,862.95078125,1118.609375 
1430,891.20078125,1142.0078125 
1440,899.91875,1159.9296875 
1450,881.146875,1144.0859375 
1460,859.10078125,1143 
1470,896.090625,1135.6328125 
1480,875.7421875,1134.84375 
1490,843.91953125,1121.6953125 
1500,873.721875,1119.2109375 
1510,882.26015625,1145.1796875 
1520,875.91640625,1127.2109375 
1530,902.2921875,1152.9609375 
1540,883.93984375,1140.0234375 
1550,843.39453125,1112.421875 
1560,886.63359375,1129.03125 
1570,835.46015625,1098.078125 
1580,896.87109375,1148.671875 
1590,865.940625,1126.28125 
1600,872.57734375,1133.9765625 
1610,875.21875,1140.0390625 
1620,908.2703125,1161.296875 
1630,839.7828125,1086.4609375 
1640,838.5046875,1103.328125 
1650,890.3515625,1143.8671875 
1660,862.78828125,1141.2421875 
1670,906.59921875,1150.6015625 
1680,878.2625,1121.1796875 
1690,882.37109375,1147.65625 
1700,855.61796875,1118.0546875 
1710,872.95859375,1124.6640625 
1720,858.3671875,1134.3046875 
1730,896.50625,1139.3125 
1740,887.45546875,1145.6484375 
1750,883.528125,1133.71875 
1760,827.81171875,1100.96875 
1770,915.6171875,1158.7109375 
1780,850.7984375,1123.375 
1790,882.76328125,1122.359375 
1800,850.39921875,1108.0546875 
1810,882.44609375,1152.390625 
1820,858.11796875,1123.8359375 
1830,888.40234375,1146.6015625 
1840,861.0484375,1128.8828125 
1850,912.26953125,1163.828125 
1860,851.5703125,1118.046875 
1870,888.6296875,1149.8515625 
1880,878.41484375,1132.4296875 
1890,879.80625,1149.859375 
1900,904.221875,1132.265625 
1910,882.621875,1144.453125 
1920,840.59609375,1130.609375 
1930,877.65078125,1127.171875 
1940,898.20078125,1157.1640625 
1950,879.8140625,1125.40625 
1960,846.98046875,1120.546875 
1970,834.05,1080.734375 
1980,890.240625,1127.9921875 
1990,886.1671875,1138.6640625 
2000,864.80234375,1145.3671875 
2010,902.00234375,1138.734375 
2020,838.965625,1117.9765625 
2030,867.640625,1126.09375 
2040,882.13203125,1127.1796875 
2050,890.1140625,1149.96328125 
2060,879.5765625,1130.646875 
2070,851.20078125,1120.8421875 
2080,853.6328125,1108.584375 
2090,871.41015625,1142.5171875 
2100,904.88359375,1170.60390625 
2110,898.2,1163.46796875 
2120,880.553125,1140.33046875 
