time,page 
50,349.5 
60,475.1 
70,466.2 
80,477.4 
90,487 
100,485.8 
110,481.5 
120,482.3 
130,482.6 
140,481.4 
150,497.4 
160,482.7 
170,468.3 
180,492.8 
190,491.1 
200,494.5 
210,497.8 
220,501 
230,506.2 
240,504.3 
250,498.4 
260,497.6 
270,501.3 
280,515.5 
290,506.1 
300,495.8 
310,508.2 
320,468.8 
330,498.9 
340,504.8 
350,501.2 
360,491.5 
370,496.9 
380,500.6 
390,488 
400,511.2 
410,511 
420,501.5 
430,512.6 
440,497 
450,494.8 
460,494.6 
470,507.9 
480,500.3 
490,489.4 
500,501.6 
510,498.4 
520,507.3 
530,496 
540,491.9 
550,495.6 
560,499.1 
570,470.4 
580,496.1 
590,488.9 
600,491.6 
610,507.8 
620,514.9 
630,487.5 
640,492.1 
650,492.9 
660,498.8 
670,516.6 
680,499.3 
690,508 
700,498.5 
710,508 
720,492.7 
730,491.6 
740,496.8 
750,492.9 
760,517.8 
770,493.4 
780,493.3 
790,504.1 
800,500.8 
810,485.6 
820,497.8 
830,504.9 
840,510.1 
850,515.9 
860,487.9 
870,496.2 
880,500.1 
890,491 
900,492.9 
910,512.8 
920,490.5 
930,493.1 
940,510.7 
950,499.8 
960,493.6 
970,508.9 
980,508.8 
990,514 
1000,508.3 
1010,494.2 
1020,510 
1030,494.1 
1040,504.8 
1050,502.9 
1060,498.1 
1070,496.2 
1080,502.6 
1090,489.7 
1100,517.8 
1110,484.6 
1120,497.6 
1130,499.6 
1140,498.1 
1150,504.7 
1160,515.1 
1170,485.3 
1180,497.7 
1190,494.6 
1200,502.1 
1210,514 
1220,492.9 
1230,491.8 
1240,517.2 
1250,503.7 
1260,503.9 
1270,511.1 
1280,493.7 
1290,492.4 
1300,483.3 
1310,480.4 
1320,515.2 
1330,517.4 
1340,495.3 
1350,488.3 
1360,510.6 
1370,500.5 
1380,488.3 
1390,511.9 
1400,516.1 
1410,494 
1420,494.9 
1430,509.2 
1440,514.7 
1450,501.9 
1460,492.7 
1470,510.9 
1480,501 
1490,480.8 
1500,499.5 
1510,503.4 
1520,503 
1530,521.7 
1540,494.8 
1550,480.5 
1560,509.7 
1570,478.5 
1580,509.1 
1590,499.2 
1600,496.6 
1610,496.9 
1620,521.2 
1630,479.3 
1640,478.8 
1650,510.5 
1660,490.2 
1670,521.8 
1680,499.1 
1690,504.5 
1700,487.6 
1710,498.2 
1720,496.6 
1730,506.3 
1740,510.4 
1750,502.8 
1760,477.7 
1770,520.1 
1780,482.6 
1790,505.3 
1800,486 
1810,502.7 
1820,496.4 
1830,503.8 
1840,490.3 
1850,521.7 
1860,488.8 
1870,492.7 
1880,515.6 
1890,498.6 
1900,524.3 
1910,500.9 
1920,475.1 
1930,503.3 
1940,513.2 
1950,505.4 
1960,479.9 
1970,476.6 
1980,522.3 
1990,495.9 
2000,494 
2010,517.1 
2020,480.1 
2030,492.8 
2040,505.4 
2050,507.6 
2060,502.5 
2070,484.5 
2080,490.9 
2090,497.2 
2100,514.6 
2110,515.1 
2120,501.1 
2130,496.7 
2140,520.2 
2150,489.6 
2160,478.6 
2170,516.9 
2180,510.6 
2190,495.9 
2200,470.6 
2210,533.9 
2220,491.8 
2230,488 
2240,531.9 
2250,502.9 
2260,492.8 
2270,466.3 
2280,506.4 
2290,501.1 
2300,485.8 
2310,481.4 
2320,518.9 
2330,484.6 
2340,479 
2350,529.8 
2360,516.7 
2370,507.8 
2380,498.5 
2390,489.2 
2400,504.6 
2410,497.6 
2420,518.3 
2430,510 
2440,503.9 
2450,498.9 
2460,497.4 
2470,499.7 
2480,514.3 
2490,482.5 
2500,508.3 
2510,513.3 
2520,500.8 
2530,484.1 
2540,510.1 
2550,470 
2560,527.3 
2570,474 
2580,498.7 
2590,516.3 
2600,502.6 
2610,522.9 
2620,473.3 
2630,484.5 
2640,518.6 
2650,474.1 
2660,528.1 
2670,439.2 
2680,555.8 
2690,470.6 
2700,560.2 
2710,472.1 
2720,498.3 
2730,487.3 
2740,501.6 
2750,498.6 
2760,512.9 
2770,505.3 
2780,479.1 
2790,513.3 
2800,464.1 
2810,480.5 
2820,493.2 
2830,507.9 
2840,518.5 
2850,504 
2860,479.6 
2870,475.8 
2880,549.5 
2890,476 
2900,466.3 
2910,515.6 
2920,531.2 
2930,479.5 
2940,515.5 
2950,465.1 
2960,479.7 
2970,496.6 
2980,542.4 
2990,471 
3000,509.3 
3010,524 
3020,462.2 
3030,514.4 
3040,477.6 
3050,516.7 
3060,454.7 
3070,523.2 
3080,506.4 
3090,479 
3100,498.2 
3110,523.8 
3120,508.6 
3130,486 
3140,514.9 
3150,517.2 
3160,493.6 
3170,516.8 
3180,514.4 
3190,504.8 
3200,463.2 
3210,535.8 
3220,484.4 
3230,527.6 
3240,469.5 
3250,533.1 
3260,466.2 
3270,528.2 
3280,467.9 
3290,492.1 
3300,502.7 
3310,510.3 
3320,517.3 
3330,468 
3340,504.7 
3350,493.7 
3360,515 
3370,488.6 
3380,511.5 
3390,491.6 
3400,476.9 
3410,479.7 
3420,600.3 
3430,403.3 
3440,524.2 
3450,531.1 
3460,479.9 
3470,517.2 
3480,486.8 
3490,511.4 
3500,520.8 
3510,477.9 
3520,495.9 
3530,519.4 
3540,465.2 
3550,504.8 
3560,468.2 
3570,520.2 
3580,508.4 
3590,525.9 
3600,450.3 
3610,489.3 
3620,456.8 
3630,463.2 
3640,492.3 
3650,592 
3660,472.4 
3670,549.9 
3680,493.6 
3690,478.9 
3700,478 
3710,479.6 
3720,475.2 
3730,556.6 
3740,491.3 
3750,497.3 
3760,484.7 
3770,494.3 
3780,478.3 
3790,574.5 
3800,497.9 
3810,454.8 
3820,519.1 
3830,474.2 
3840,497.4 
3850,443.3 
3860,541.8 
3870,550 
3880,425.4 
3890,532.7 
3900,472.3 
3910,476.1 
3920,469.8 
3930,470.9 
3940,513.6 
3950,605.3 
3960,486.7 
3970,546.9 
3980,410.3 
3990,422.4 
4000,414.8 
4010,445.1 
4020,395.8 
4030,383.2 
4040,446.2 
4050,361.5 
4060,415.3 
4070,417.9 
4080,475.1 
4090,426 
4100,375.4 
4110,340.3 
4120,457.6 
4130,397.6 
4140,441.1 
4150,407.8 
4160,418.7 
4170,415 
4180,420 
4190,419.9 
4200,378.9 
4210,424.4 
4220,420.9 
4230,369.4 
4240,433 
4250,421.5 
4260,424.9 
4270,487.9 
4280,356.7 
4290,381.8 
4300,387.9 
4310,444.5 
4320,423.3 
4330,367.9 
4340,424.3 
4350,433.6 
4360,377.3 
4370,462.8 
4380,426 
4390,434.2 
4400,369.5 
4410,420.4 
4420,465.6 
4430,353.1 
4440,523.6 
4450,319.5 
4460,416.7 
4470,369.4 
4480,378.8 
4490,437.8 
4500,378.5 
4510,429.5 
4520,344 
4530,397.8 
4540,389.7 
4550,322.2 
4560,511.8 
4570,392.9 
4580,434 
4590,424.3 
4600,467.7 
4610,328.2 
4620,438 
4630,456.7 
4640,372.2 
4650,431.6 
4660,389.2 
4670,493.6 
4680,424.3 
4690,344.2 
4700,458 
4710,433.9 
4720,427.5 
4730,445.5 
4740,382.3 
4750,436.2 
4760,379.2 
4770,348.3 
4780,441.6 
