time,users,connected 
0,0, 
10,0, 
20,0, 
30,0, 
40,0, 
50,3701,3498 
60,8713,4752 
70,13773,4663 
80,18730,4785 
90,23806,4866 
100,28901,4867 
110,33937,4810 
120,38971,4832 
130,44016,4826 
140,49012,4802 
150,54196,4989 
160,59235,4822 
170,64161,4701 
180,69105,4934 
190,74072,4912 
200,79004,4931 
210,84060,4993 
220,89129,5021 
230,94227,5046 
240,99355,5089 
250,104372,4978 
260,109378,4962 
270,114454,5032 
280,119569,5108 
290,124710,5073 
300,129760,4992 
310,134898,5076 
320,139819,4711 
330,144849,4994 
340,149818,4991 
350,154826,5021 
360,159808,4940 
370,164808,5001 
380,169738,4922 
390,174701,4966 
400,179790,5070 
410,184883,5130 
420,189860,4991 
430,194986,5141 
440,199933,4980 
450,204825,4927 
460,209755,4948 
470,214890,5136 
480,219857,4965 
490,224825,4972 
500,229780,4964 
510,234750,4960 
520,239841,5100 
530,244770,4945 
540,249734,4948 
550,254746,4991 
560,259770,4957 
570,264621,4689 
580,269593,4987 
590,274505,4946 
600,279307,4865 
610,284435,5102 
620,289543,5113 
630,294373,4877 
640,299371,4976 
650,304313,4938 
660,309312,4981 
670,314430,5120 
680,319482,5068 
690,324495,5020 
700,329497,5061 
710,334455,4948 
720,339453,4976 
730,344468,4983 
740,349391,4915 
750,354416,5033 
760,359519,5079 
770,364399,4939 
780,369400,4962 
790,374430,5026 
800,379491,5040 
810,384489,4879 
820,389589,4997 
830,394573,4972 
840,399791,5212 
850,404810,5075 
860,409627,4862 
870,414671,5055 
880,419659,4990 
890,424557,4890 
900,429469,4912 
910,434538,5082 
920,439415,4902 
930,444349,4936 
940,449408,5091 
950,454479,5069 
960,459442,4963 
970,464555,5128 
980,469606,5060 
990,474683,5091 
1000,479746,5097 
1010,484812,5069 
1020,489775,4995 
1030,494690,4939 
1040,499735,5073 
1050,504707,4960 
1060,509799,4976 
1070,514862,4972 
1080,519828,4987 
1090,524851,5035 
1100,529866,5031 
1110,534851,4966 
1120,539855,5014 
1130,544794,4934 
1140,549730,4972 
1150,554803,5069 
1160,559883,5074 
1170,564794,4942 
1180,569739,4979 
1190,574653,4941 
1200,579748,5054 
1210,584850,5130 
1220,589733,4875 
1230,594774,5058 
1240,599844,5064 
1250,604819,4970 
1260,609850,5058 
1270,615027,5169 
1280,619889,4893 
1290,624806,4882 
1300,629847,4992 
1310,634772,4818 
1320,639855,5050 
1330,645005,5172 
1340,649979,4966 
1350,654946,4992 
1360,660019,5147 
1370,664943,4939 
1380,669931,4978 
1390,675068,5139 
1400,680109,5053 
1410,685045,4939 
1420,689972,4946 
1430,694970,5017 
1440,700048,5111 
1450,705049,5051 
1460,710190,5112 
1470,715138,4960 
1480,720145,5013 
1490,725165,5004 
1500,730050,4917 
1510,735101,5058 
1520,740042,4970 
1530,745116,5079 
1540,750116,4989 
1550,755102,4946 
1560,760185,4956 
1570,765140,4883 
1580,770188,5034 
1590,775161,4996 
1600,780169,5007 
1610,785218,5035 
1620,790277,5104 
1630,795053,4792 
1640,799922,4904 
1650,804947,5037 
1660,810011,5076 
1670,815036,5045 
1680,819935,4908 
1690,824990,5077 
1700,829917,4951 
1710,834887,4951 
1720,839965,5073 
1730,844893,4966 
1740,849955,5061 
1750,854922,4977 
1760,859843,4933 
1770,864893,5051 
1780,869855,4990 
1790,874773,4916 
1800,879751,4905 
1810,884964,5101 
1820,890001,5006 
1830,895025,5041 
1840,900035,5005 
1850,905126,5104 
