time,users,connected 
0,0, 
10,0, 
20,0, 
30,0, 
40,0, 
50,3701,3498 
60,8713,8250 
70,13773,12913 
80,18730,17698 
90,23806,22564 
100,28901,27431 
110,33937,32241 
120,38971,37073 
130,44016,41899 
140,49012,46701 
150,54196,51690 
160,59235,56512 
170,64161,61213 
180,69105,66147 
190,74072,71059 
200,79004,75990 
210,84060,80983 
220,89129,86004 
230,94227,91050 
240,99355,96139 
250,104372,101117 
260,109378,106079 
270,114454,111111 
280,119569,116219 
290,124710,121292 
300,129760,126284 
310,134898,131360 
320,139819,136071 
330,144849,141065 
340,149818,146056 
350,154826,151077 
360,159808,156017 
370,164808,161018 
380,169738,165940 
390,174701,170906 
400,179790,175976 
410,184883,181106 
420,189860,186097 
430,194986,191238 
440,199933,196218 
450,204825,201145 
460,209755,206093 
470,214890,211229 
480,219857,216194 
490,224825,221166 
500,229780,226130 
510,234750,231090 
520,239841,236190 
530,244770,241135 
540,249734,246083 
550,254746,251074 
560,259770,256031 
570,264621,260720 
580,269593,265707 
590,274505,270653 
600,279307,275518 
610,284435,280620 
620,289543,285733 
630,294373,290610 
640,299371,295586 
650,304313,300524 
660,309312,305505 
670,314430,310625 
680,319482,315693 
690,324495,320713 
700,329497,325774 
710,334455,330722 
720,339453,335698 
730,344468,340681 
740,349391,345596 
750,354416,350629 
760,359519,355708 
770,364399,360647 
780,369400,365609 
790,374430,370635 
800,379491,375675 
810,384489,380554 
820,389589,385551 
830,394573,390523 
840,399791,395735 
850,404810,400810 
860,409627,405672 
870,414671,410727 
880,419659,415717 
890,424557,420607 
900,429469,425519 
910,434538,430601 
920,439415,435503 
930,444349,440439 
940,449408,445530 
950,454479,450599 
960,459442,455562 
970,464555,460690 
980,469606,465750 
990,474683,470841 
1000,479746,475938 
1010,484812,481007 
1020,489775,486002 
1030,494690,490941 
1040,499735,496014 
1050,504707,500974 
1060,509799,505950 
1070,514862,510922 
1080,519828,515909 
1090,524851,520944 
1100,529866,525975 
1110,534851,530941 
1120,539855,535955 
1130,544794,540889 
1140,549730,545861 
1150,554803,550930 
1160,559883,556004 
1170,564794,560946 
1180,569739,565925 
1190,574653,570866 
1200,579748,575920 
1210,584850,581050 
1220,589733,585925 
1230,594774,590983 
1240,599844,596047 
1250,604819,601017 
1260,609850,606075 
1270,615027,611244 
1280,619889,616137 
1290,624806,621019 
1300,629847,626011 
1310,634772,630829 
1320,639855,635879 
1330,645005,641051 
1340,649979,646017 
1350,654946,651009 
1360,660019,656156 
1370,664943,661095 
1380,669931,666073 
1390,675068,671212 
1400,680109,676265 
1410,685045,681204 
1420,689972,686150 
1430,694970,691167 
1440,700048,696278 
1450,705049,701329 
1460,710190,706441 
1470,715138,711401 
1480,720145,716414 
1490,725165,721418 
1500,730050,726335 
1510,735101,731393 
1520,740042,736363 
1530,745116,741442 
1540,750116,746431 
1550,755102,751377 
1560,760185,756333 
1570,765140,761216 
1580,770188,766250 
1590,775161,771246 
1600,780169,776253 
1610,785218,781288 
1620,790277,786392 
1630,795053,791184 
1640,799922,796088 
1650,804947,801125 
1660,810011,806201 
1670,815036,811246 
1680,819935,816154 
1690,824990,821231 
1700,829917,826182 
1710,834887,831133 
1720,839965,836206 
1730,844893,841172 
1740,849955,846233 
1750,854922,851210 
1760,859843,856143 
1770,864893,861194 
1780,869855,866184 
1790,874773,871100 
1800,879751,876005 
1810,884964,881106 
1820,890001,886112 
1830,895025,891153 
1840,900035,896158 
1850,905126,901262 
