time,freemem@tsung_controller@3569fb844dae 
0,3623.26171875 
10,3632.7421875 
20,3632.76953125 
30,3632.79296875 
40,3632.91015625 
50,3632.91015625 
60,3632.91015625 
70,3632.91015625 
80,3632.91015625 
90,3632.91015625 
100,3632.91015625 
110,3632.91015625 
120,3632.91015625 
130,3632.91015625 
140,3632.91015625 
150,3632.91015625 
160,3632.91015625 
170,3632.91015625 
180,3632.91015625 
190,3632.91015625 
200,3632.91015625 
210,3632.91015625 
220,3632.91015625 
230,3632.91015625 
240,3632.91015625 
250,3632.91015625 
260,3632.91015625 
270,3632.91015625 
280,3632.91015625 
290,3632.91015625 
300,3632.91015625 
310,3632.91015625 
320,3632.91015625 
330,3632.91015625 
340,3632.91015625 
350,3632.91015625 
360,3632.91015625 
370,3632.91015625 
380,3632.91015625 
390,3632.91015625 
400,3632.91015625 
410,3632.91015625 
420,3632.91015625 
430,3632.91015625 
440,3632.91015625 
450,3632.91015625 
460,3632.91015625 
470,3632.91015625 
480,3632.91015625 
490,3632.91015625 
500,3632.91015625 
510,3632.91015625 
520,3632.91015625 
530,3632.91015625 
540,3632.91015625 
550,3632.91015625 
560,3632.91015625 
570,3632.91015625 
580,3632.91015625 
590,3632.91015625 
600,3632.91015625 
610,3632.91015625 
620,3632.91015625 
630,3632.91015625 
640,3632.91015625 
650,3632.91015625 
660,3632.91015625 
670,3632.91015625 
680,3632.91015625 
690,3632.91015625 
700,3632.91015625 
710,3632.91015625 
720,3632.91015625 
730,3632.91015625 
740,3632.91015625 
750,3632.91015625 
760,3632.91015625 
770,3632.91015625 
780,3632.91015625 
790,3632.91015625 
800,3632.91015625 
810,3632.91015625 
820,3632.91015625 
830,3632.91015625 
840,3632.91015625 
850,3632.91015625 
860,3632.91015625 
870,3632.91015625 
880,3632.91015625 
890,3632.91015625 
900,3632.91015625 
910,3632.91015625 
920,3632.91015625 
930,3632.91015625 
940,3632.91015625 
950,3632.91015625 
960,3632.91015625 
970,3632.91015625 
980,3632.91015625 
990,3632.91015625 
1000,3632.91015625 
1010,3632.91015625 
1020,3632.91015625 
1030,3632.91015625 
1040,3632.91015625 
1050,3632.91015625 
1060,3632.91015625 
1070,3632.91015625 
1080,3632.91015625 
1090,3632.91015625 
1100,3632.91015625 
1110,3632.91015625 
1120,3632.91015625 
1130,3632.91015625 
1140,3632.91015625 
1150,3632.91015625 
