time,freemem@tsung_controller@3569fb844dae 
0,3623.26171875 
10,3632.7421875 
20,3632.76953125 
30,3632.79296875 
40,3632.91015625 
50,3632.078125 
60,3632.0390625 
70,3631.9375 
80,3632.015625 
90,3631.62109375 
100,3631.49609375 
110,3630.859375 
120,3630.0859375 
130,3627.4921875 
140,3628.234375 
150,3628.29296875 
160,3630.2109375 
170,3630.0390625 
180,3629.80078125 
190,3629.66796875 
200,3625.00390625 
210,3624.9765625 
220,3625.1953125 
230,3624.4296875 
240,3624.1953125 
250,3621.9765625 
260,3622.9453125 
270,3622.7578125 
280,3622.828125 
290,3622.59765625 
300,3622.50390625 
310,3623.35546875 
320,3622.03515625 
330,3622.5 
340,3622.71875 
350,3622.98046875 
360,3624.734375 
370,3624.32421875 
380,3622.97265625 
390,3623.08203125 
400,3623.15234375 
410,3625.2109375 
420,3623.11328125 
430,3623.04296875 
440,3623.1171875 
450,3625.046875 
460,3623.046875 
470,3623.02734375 
480,3626.0625 
490,3625.2421875 
500,3626.19140625 
510,3626.1875 
520,3626.23046875 
530,3626.125 
540,3626.40625 
550,3626.30078125 
560,3626.52734375 
570,3626.16796875 
580,3623.828125 
590,3623.7890625 
600,3623.94140625 
610,3623.48828125 
620,3623.54296875 
630,3623.57421875 
640,3623.47265625 
650,3623.5546875 
660,3623.6484375 
670,3623.6875 
680,3623.63671875 
690,3623.6640625 
700,3623.58203125 
710,3623.68359375 
720,3623.578125 
730,3623.6328125 
740,3623.5 
750,3623.59375 
760,3623.64453125 
770,3623.6328125 
780,3625.9296875 
790,3626.2109375 
800,3624.078125 
810,3626.04296875 
820,3626.08984375 
830,3624.05859375 
840,3624.19921875 
850,3626.15234375 
860,3625.94921875 
870,3624.05078125 
880,3624.1640625 
890,3623.8046875 
900,3623.66015625 
910,3623.90234375 
920,3623.83984375 
930,3623.65625 
940,3623.77734375 
950,3623.8203125 
960,3623.625 
970,3623.6015625 
980,3623.578125 
990,3623.50390625 
1000,3623.52734375 
1010,3623.62109375 
1020,3623.42578125 
1030,3623.5390625 
1040,3623.859375 
1050,3623.76171875 
1060,3623.93359375 
1070,3624.09375 
1080,3623.15234375 
1090,3624.2109375 
1100,3624.13671875 
1110,3623.94140625 
1120,3623.90234375 
1130,3624.09375 
1140,3624.21484375 
1150,3624.1015625 
1160,3624.2265625 
1170,3624.125 
1180,3624.0 
