time,freemem@tsung_controller@3569fb844dae 
0,3623.26171875 
10,3623.26171875 
20,3623.26171875 
30,3623.26171875 
40,3623.26171875 
50,3623.26171875 
60,3623.26171875 
70,3623.26171875 
80,3623.26171875 
90,3623.26171875 
100,3623.26171875 
110,3623.26171875 
120,3623.26171875 
130,3623.26171875 
140,3623.26171875 
150,3623.26171875 
160,3623.26171875 
170,3623.26171875 
180,3623.26171875 
190,3623.26171875 
200,3623.26171875 
210,3623.26171875 
220,3623.26171875 
230,3623.26171875 
240,3623.26171875 
250,3621.9765625 
260,3621.9765625 
270,3621.9765625 
280,3621.9765625 
290,3621.9765625 
300,3621.9765625 
310,3621.9765625 
320,3621.9765625 
330,3621.9765625 
340,3621.9765625 
350,3621.9765625 
360,3621.9765625 
370,3621.9765625 
380,3621.9765625 
390,3621.9765625 
400,3621.9765625 
410,3621.9765625 
420,3621.9765625 
430,3621.9765625 
440,3621.9765625 
450,3621.9765625 
460,3621.9765625 
470,3621.9765625 
480,3621.9765625 
490,3621.9765625 
500,3621.9765625 
510,3621.9765625 
520,3621.9765625 
530,3621.9765625 
540,3621.9765625 
550,3621.9765625 
560,3621.9765625 
570,3621.9765625 
580,3621.9765625 
590,3621.9765625 
600,3621.9765625 
610,3621.9765625 
620,3621.9765625 
630,3621.9765625 
640,3621.9765625 
650,3621.9765625 
660,3621.9765625 
670,3621.9765625 
680,3621.9765625 
690,3621.9765625 
700,3621.9765625 
710,3621.9765625 
720,3621.9765625 
730,3621.9765625 
740,3621.9765625 
750,3621.9765625 
760,3621.9765625 
770,3621.9765625 
780,3621.9765625 
790,3621.9765625 
800,3621.9765625 
810,3621.9765625 
820,3621.9765625 
830,3621.9765625 
840,3621.9765625 
850,3621.9765625 
860,3621.9765625 
870,3621.9765625 
880,3621.9765625 
890,3621.9765625 
900,3621.9765625 
910,3621.9765625 
920,3621.9765625 
930,3621.9765625 
940,3621.9765625 
950,3621.9765625 
960,3621.9765625 
970,3621.9765625 
980,3621.9765625 
990,3621.9765625 
1000,3621.9765625 
1010,3621.9765625 
1020,3621.9765625 
1030,3621.9765625 
1040,3621.9765625 
1050,3621.9765625 
1060,3621.9765625 
1070,3621.9765625 
1080,3621.9765625 
1090,3621.9765625 
1100,3621.9765625 
1110,3621.9765625 
1120,3621.9765625 
1130,3621.9765625 
1140,3621.9765625 
1150,3621.9765625 
1160,3621.9765625 
1170,3621.9765625 
1180,3621.9765625 
1190,3621.9765625 
1200,3621.9765625 
1210,3621.9765625 
1220,3621.9765625 
1230,3621.9765625 
1240,3621.9765625 
1250,3621.9765625 
1260,3621.9765625 
1270,3621.9765625 
1280,3621.9765625 
1290,3621.9765625 
1300,3621.9765625 
1310,3621.9765625 
1330,3621.9765625 
1340,3621.9765625 
1350,3621.9765625 
1360,3621.9765625 
1370,3621.9765625 
1380,3621.9765625 
1390,3621.9765625 
1400,3621.9765625 
1410,3621.9765625 
1420,3621.9765625 
1430,3621.9765625 
1440,3621.9765625 
1450,3621.9765625 
1460,3621.9765625 
1470,3621.9765625 
1480,3621.9765625 
1490,3621.9765625 
1500,3621.9765625 
1510,3621.9765625 
1520,3621.9765625 
1530,3621.9765625 
1540,3621.9765625 
1550,3621.9765625 
1560,3621.9765625 
1570,3621.9765625 
1580,3621.9765625 
1590,3621.9765625 
1600,3621.9765625 
1610,3621.9765625 
1620,3621.9765625 
1630,3621.9765625 
1640,3621.9765625 
1650,3621.9765625 
1660,3621.9765625 
1670,3621.9765625 
1680,3621.9765625 
1690,3621.9765625 
1700,3621.9765625 
1710,3621.9765625 
1720,3621.9765625 
1730,3621.9765625 
1740,3621.9765625 
1750,3621.9765625 
1760,3621.9765625 
1770,3621.9765625 
1780,3621.9765625 
1790,3621.9765625 
1800,3621.9765625 
1810,3621.9765625 
1820,3621.9765625 
1830,3621.9765625 
1840,3621.9765625 
1850,3621.9765625 
1860,3621.9765625 
1870,3621.9765625 
1880,3621.9765625 
1890,3621.9765625 
1900,3621.9765625 
1910,3621.9765625 
1920,3621.9765625 
1930,3621.9765625 
1940,3621.9765625 
1950,3621.890625 
1960,3621.890625 
1970,3621.890625 
1980,3621.890625 
1990,3621.890625 
2000,3621.890625 
2010,3621.890625 
2020,3621.890625 
2030,3621.890625 
2040,3621.890625 
2050,3621.6875 
2060,3621.6875 
2070,3620.87890625 
2080,3620.8359375 
2090,3620.8359375 
2100,3620.8359375 
2110,3619.7109375 
2120,3619.7109375 
2130,3619.7109375 
2140,3619.7109375 
2150,3619.7109375 
2160,3619.7109375 
2170,3619.7109375 
2180,3619.7109375 
2190,3619.7109375 
2200,3619.7109375 
2210,3619.7109375 
2220,3619.7109375 
2230,3619.7109375 
2240,3619.7109375 
2250,3619.7109375 
2260,3619.7109375 
2270,3619.7109375 
2280,3619.7109375 
2290,3619.7109375 
2300,3619.7109375 
2310,3619.7109375 
2320,3619.7109375 
2330,3619.7109375 
2340,3619.7109375 
2350,3619.7109375 
2360,3619.7109375 
2370,3619.7109375 
2380,3619.7109375 
2390,3619.7109375 
2400,3619.640625 
2410,3619.640625 
2420,3619.55078125 
2430,3618.109375 
2440,3617.73046875 
2450,3617.73046875 
2460,3617.73046875 
2470,3617.73046875 
2480,3617.73046875 
2490,3617.73046875 
2500,3617.73046875 
2510,3617.73046875 
2520,3617.73046875 
2530,3617.73046875 
2540,3617.73046875 
2550,3617.73046875 
2560,3617.73046875 
2570,3617.73046875 
2580,3617.73046875 
2590,3617.73046875 
2600,3617.73046875 
2610,3617.73046875 
2620,3617.73046875 
2630,3617.73046875 
2640,3617.73046875 
2650,3617.73046875 
2660,3617.73046875 
2670,3617.73046875 
2680,3617.73046875 
2690,3617.73046875 
2700,3617.73046875 
2710,3617.73046875 
2720,3617.73046875 
2730,3617.73046875 
2740,3617.73046875 
2750,3617.73046875 
2760,3617.73046875 
2770,3617.73046875 
2780,3617.73046875 
2790,3617.73046875 
2800,3617.73046875 
2810,3617.73046875 
2820,3617.73046875 
2830,3617.73046875 
2840,3617.015625 
2850,3617.015625 
2860,3617.015625 
2870,3617.015625 
2880,3614.5234375 
2890,3614.5234375 
2900,3614.5234375 
2910,3614.5234375 
2920,3614.5234375 
2930,3614.5234375 
2940,3614.5234375 
2950,3614.5234375 
2960,3614.5234375 
2980,3614.5234375 
2990,3614.5234375 
3000,3614.5234375 
3010,3614.5234375 
3020,3614.5234375 
3030,3614.5234375 
3040,3614.5234375 
3050,3614.5234375 
3060,3614.5234375 
3070,3614.5234375 
3080,3614.5234375 
3090,3614.5234375 
3100,3614.5234375 
3110,3614.5234375 
3120,3614.5234375 
3130,3614.5234375 
3140,3614.5234375 
3150,3614.5234375 
3160,3614.5234375 
3170,3614.5234375 
3180,3614.5234375 
3190,3614.5234375 
3200,3614.5234375 
3210,3614.5234375 
3220,3614.5234375 
3230,3614.5234375 
3240,3614.5234375 
3250,3614.5234375 
3260,3614.5234375 
3270,3614.5234375 
3280,3614.5234375 
3290,3614.5234375 
3300,3614.5234375 
3310,3614.5234375 
3320,3614.5234375 
3330,3614.5234375 
3340,3614.5234375 
3350,3614.5234375 
3360,3614.5234375 
3370,3614.5234375 
3380,3614.5234375 
3390,3614.5234375 
3400,3614.5234375 
3410,3614.5234375 
3420,3614.5234375 
3430,3614.5234375 
3440,3614.5234375 
3450,3614.5234375 
3460,3614.5234375 
3470,3614.5234375 
3480,3614.5234375 
3490,3614.5234375 
3500,3614.5234375 
3510,3614.5234375 
3520,3614.5234375 
3530,3614.5234375 
3540,3614.5234375 
3550,3614.5234375 
3560,3614.5234375 
3570,3614.5234375 
3580,3614.5234375 
3590,3614.5234375 
3600,3614.5234375 
3610,3614.5234375 
3620,3614.5234375 
3630,3614.5234375 
3640,3614.5234375 
3650,3614.5234375 
3660,3614.5234375 
3670,3614.5234375 
3680,3614.5234375 
3690,3614.5234375 
3700,3614.5234375 
3710,3614.5234375 
3720,3614.5234375 
3730,3614.5234375 
3740,3614.5234375 
3750,3614.5234375 
3760,3614.5234375 
3770,3614.5234375 
3780,3614.5234375 
3790,3614.5234375 
3800,3614.5234375 
3810,3614.5234375 
3820,3614.5234375 
3830,3614.5234375 
3840,3614.5234375 
3850,3614.5234375 
3860,3614.5234375 
3870,3614.5234375 
3880,3614.5234375 
3890,3614.5234375 
3900,3614.5234375 
3910,3614.5234375 
3920,3614.5234375 
3930,3614.5234375 
3940,3614.5234375 
3950,3614.5234375 
3960,3614.5234375 
3970,3614.5234375 
3980,3614.5234375 
3990,3614.5234375 
4000,3614.5234375 
4010,3614.5234375 
4020,3614.5234375 
4030,3614.5234375 
4040,3614.5234375 
4050,3614.5234375 
4060,3614.5234375 
4070,3614.5234375 
4080,3614.5234375 
4090,3614.5234375 
4100,3614.5234375 
4110,3614.5234375 
4120,3614.5234375 
4130,3614.5234375 
4140,3614.5234375 
4150,3614.5234375 
4160,3614.5234375 
4170,3614.5234375 
4180,3614.5234375 
4190,3614.5234375 
4200,3614.5234375 
4210,3614.5234375 
4220,3614.5234375 
4230,3614.5234375 
4240,3614.5234375 
4250,3614.5234375 
4260,3614.5234375 
4270,3614.5234375 
4280,3614.5234375 
4290,3614.5234375 
4300,3614.5234375 
4310,3614.5234375 
4320,3614.5234375 
4330,3614.5234375 
4340,3614.5234375 
4350,3614.5234375 
4360,3614.5234375 
4370,3614.5234375 
4380,3614.5234375 
4390,3614.5234375 
4400,3614.5234375 
4410,3614.5234375 
4420,3614.5234375 
4430,3614.5234375 
4440,3614.5234375 
4450,3614.5234375 
4460,3614.5234375 
4470,3614.5234375 
4480,3614.5234375 
4490,3614.5234375 
4500,3614.5234375 
4510,3614.5234375 
4520,3614.5234375 
4530,3614.5234375 
4540,3614.5234375 
4550,3614.5234375 
4560,3614.5234375 
4570,3614.5234375 
4580,3614.5234375 
4590,3614.5234375 
4600,3614.5234375 
4610,3614.5234375 
4620,3614.5234375 
4630,3614.5234375 
4640,3614.5234375 
4660,3614.5234375 
4670,3614.5234375 
4680,3614.5234375 
4690,3614.5234375 
4700,3614.5234375 
4710,3614.5234375 
4720,3614.5234375 
4730,3614.5234375 
4740,3614.5234375 
4750,3614.5234375 
4760,3614.5234375 
4770,3614.5234375 
4780,3614.5234375 
