time,load@tsung_controller@3569fb844dae 
0,0.03125 
10,0.03125 
20,0.01953125 
30,0.01953125 
40,0.01953125 
50,0.08984375 
60,0.078125 
70,0.0703125 
80,0.05859375 
90,0.2890625 
100,0.3203125 
110,0.421875 
120,0.58984375 
130,0.5 
140,0.48828125 
150,0.421875 
160,0.73046875 
170,0.6484375 
180,0.55078125 
190,0.76953125 
200,0.8203125 
210,0.76953125 
220,0.6484375 
230,0.69921875 
240,0.73828125 
250,0.62109375 
260,0.609375 
270,0.66015625 
280,0.640625 
290,0.69140625 
300,0.66015625 
310,0.640625 
320,0.609375 
330,0.51953125 
340,0.44140625 
350,0.37109375 
360,0.46875 
370,0.55859375 
380,0.48046875 
390,0.3984375 
400,0.33984375 
410,0.37109375 
420,0.30859375 
430,0.26171875 
440,0.37890625 
450,0.3203125 
460,0.4296875 
470,0.44140625 
480,0.37109375 
490,0.3203125 
500,0.26953125 
510,0.23046875 
520,0.19140625 
530,0.3203125 
540,0.3515625 
550,0.37109375 
560,0.3203125 
570,0.33984375 
580,0.359375 
590,0.30859375 
600,0.26171875 
610,0.30078125 
620,0.25 
630,0.2109375 
640,0.33984375 
650,0.37109375 
660,0.30859375 
670,0.33984375 
680,0.2890625 
690,0.25 
700,0.2109375 
710,0.1796875 
720,0.21875 
730,0.19140625 
740,0.30859375 
750,0.26171875 
760,0.21875 
770,0.19140625 
780,0.16015625 
790,0.12890625 
800,0.109375 
810,0.1015625 
820,0.078125 
830,0.0703125 
840,0.05859375 
850,0.12890625 
860,0.109375 
870,0.08984375 
880,0.078125 
890,0.0703125 
900,0.05859375 
910,0.05078125 
920,0.0390625 
930,0.03125 
940,0.03125 
950,0.25 
960,0.2109375 
970,0.1796875 
980,0.1484375 
990,0.3515625 
1000,0.37109375 
1010,0.30859375 
1020,0.26171875 
1030,0.21875 
1040,0.19140625 
1050,0.16015625 
1060,0.2109375 
1070,0.1796875 
1080,0.1484375 
1090,0.26171875 
1100,0.21875 
1110,0.1796875 
1120,0.1484375 
1130,0.12890625 
1140,0.109375 
1150,0.08984375 
1160,0.078125 
1170,0.0703125 
1180,0.05859375 
1190,0.05078125 
1200,0.0390625 
1210,0.03125 
1220,0.03125 
1230,0.1015625 
1240,0.08984375 
1250,0.078125 
1260,0.05859375 
1270,0.12890625 
1280,0.1796875 
1290,0.23046875 
1300,0.19921875 
1310,0.171875 
1330,0.140625 
1340,0.12109375 
1350,0.1015625 
1360,0.08984375 
1370,0.23046875 
1380,0.19140625 
1390,0.16015625 
1400,0.140625 
1410,0.12109375 
1420,0.1015625 
1430,0.078125 
1440,0.1484375 
1450,0.2109375 
1460,0.1796875 
1470,0.1484375 
1480,0.12890625 
1490,0.19140625 
1500,0.16015625 
1510,0.2109375 
1520,0.1796875 
1530,0.1484375 
1540,0.19921875 
1550,0.25 
1560,0.44921875 
1570,0.37890625 
1580,0.3203125 
1590,0.26953125 
1600,0.23046875 
1610,0.19921875 
1620,0.171875 
1630,0.140625 
1640,0.12109375 
1650,0.1015625 
1660,0.16015625 
1670,0.2109375 
1680,0.1796875 
1690,0.1484375 
1700,0.12890625 
1710,0.109375 
1720,0.08984375 
1730,0.078125 
1740,0.0703125 
1750,0.05859375 
1760,0.05078125 
1770,0.0390625 
1780,0.109375 
1790,0.171875 
1800,0.140625 
1810,0.19140625 
1820,0.23828125 
1830,0.19921875 
1840,0.171875 
1850,0.1484375 
1860,0.12109375 
1870,0.109375 
1880,0.08984375 
1890,0.1484375 
1900,0.12890625 
1910,0.109375 
1920,0.25 
