time,recvpackets@tsung_controller@3569fb844dae 
10,6803 
20,861.0 
30,839.0 
40,992.0 
50,1852.0 
60,18842.0 
70,18896.0 
80,19493.0 
90,19178.0 
100,19319.0 
110,19373.0 
120,19513.0 
130,19228.0 
140,19128.0 
150,19507.0 
160,19346.0 
170,19004.0 
180,19101.0 
190,19204.0 
200,18828.0 
210,19126.0 
220,19111.0 
230,19412.0 
240,19607.0 
250,19505.0 
260,19483.0 
270,19302.0 
280,18896.0 
290,19824.0 
300,19525.0 
310,19259.0 
320,19350.0 
330,19606.0 
340,19132.0 
350,19316.0 
360,19205.0 
370,18852.0 
380,19181.0 
390,18923.0 
400,19037.0 
410,19348.0 
420,19228.0 
430,19486.0 
440,18967.0 
450,18955.0 
460,18858.0 
470,18863.0 
480,19495.0 
490,19345.0 
500,18713.0 
510,19081.0 
520,19227.0 
530,18930.0 
540,19212.0 
550,18916.0 
560,19206.0 
570,18783.0 
580,19011.0 
590,19064.0 
600,18610.0 
610,19168.0 
620,19424.0 
630,19162.0 
640,18789.0 
650,19037.0 
660,19169.0 
670,19182.0 
680,19099.0 
690,19267.0 
700,19270.0 
710,18890.0 
720,19392.0 
730,19031.0 
740,19071.0 
750,18871.0 
760,19444.0 
770,18858.0 
780,19010.0 
790,19123.0 
800,18908.0 
810,19570.0 
820,19197.0 
830,19236.0 
840,19577.0 
850,19441.0 
860,18645.0 
870,18915.0 
880,19292.0 
890,18735.0 
900,18972.0 
910,19238.0 
920,18782.0 
930,18786.0 
940,19296.0 
950,19468.0 
960,18870.0 
970,19543.0 
980,19126.0 
990,19358.0 
1000,19118.0 
1010,19227.0 
1020,19185.0 
1030,18898.0 
1040,19301.0 
1050,19006.0 
1060,19296.0 
1070,19373.0 
1080,19156.0 
1090,19073.0 
1100,19184.0 
1110,18991.0 
1120,19056.0 
1130,18988.0 
1140,18837.0 
1150,19228.0 
1160,19364.0 
1170,18709.0 
1180,19024.0 
1190,18908.0 
1200,19396.0 
1210,19368.0 
1220,18719.0 
1230,19361.0 
1240,19217.0 
1250,19050.0 
1260,19214.0 
1270,19551.0 
1280,18683.0 
1290,18857.0 
1300,19169.0 
1310,18862.0 
1330,19429.0 
1340,19569.0 
1350,19015.0 
1360,18993.0 
1370,19396.0 
1380,18776.0 
1390,19127.0 
1400,19486.0 
1410,19101.0 
