time,sentpackets@tsung_controller@3569fb844dae 
10,8534 
20,8534 
30,8534 
40,8534 
50,8534 
60,15348 
70,15566 
80,15876 
90,15876 
100,15876 
110,15876 
120,15924 
130,15924 
140,15924 
150,15924 
160,15924 
170,15924 
180,15924 
190,15924 
200,15924 
210,15924 
220,15924 
230,15924 
240,15924 
250,15924 
260,15924 
270,15924 
280,15924 
290,15924 
300,15924 
310,15924 
320,15924 
330,16006 
340,16006 
350,16006 
360,16006 
370,16006 
380,16006 
390,16006 
400,16006 
410,16006 
420,16006 
430,16006 
440,16006 
450,16006 
460,16006 
470,16006 
480,16006 
490,16006 
500,16006 
510,16006 
520,16006 
530,16006 
540,16006 
550,16006 
560,16006 
570,16006 
580,16006 
590,16006 
600,16006 
610,16006 
620,16006 
630,16006 
640,16006 
650,16006 
660,16006 
670,16006 
680,16006 
690,16006 
700,16006 
710,16006 
720,16006 
730,16006 
740,16006 
750,16006 
760,16006 
770,16006 
780,16006 
790,16006 
800,16006 
810,16006 
820,16006 
830,16006 
840,16006 
850,16006 
860,16006 
870,16006 
880,16006 
890,16006 
900,16006 
910,16006 
920,16006 
930,16006 
940,16006 
950,16006 
960,16006 
970,16006 
980,16006 
990,16006 
1000,16006 
1010,16006 
1020,16006 
1030,16006 
1040,16006 
1050,16006 
1060,16006 
1070,16006 
1080,16006 
1090,16006 
1100,16006 
1110,16006 
1120,16006 
1130,16006 
1140,16006 
1150,16006 
1160,16006 
1170,16006 
1180,16006 
1190,16006 
1200,16006 
1210,16006 
1220,16006 
1230,16006 
1240,16006 
1250,16006 
1260,16006 
1270,16006 
1280,16006 
1290,16006 
1300,16006 
1310,16006 
1330,16006 
1340,16006 
1350,16006 
1360,16006 
1370,16006 
1380,16006 
1390,16006 
1400,16006 
1410,16006 
1420,16006 
1430,16006 
1440,16006 
1450,16006 
1460,16006 
1470,16006 
1480,16006 
1490,16006 
1500,16006 
1510,16006 
1520,16006 
1530,16006 
1540,16006 
1550,16006 
1560,16006 
1570,16006 
1580,16006 
1590,16006 
1600,16006 
1610,16006 
1620,16006 
1630,16006 
1640,16006 
1650,16006 
1660,16006 
1670,16006 
1680,16006 
1690,16006 
1700,16006 
1710,16006 
1720,16006 
1730,16006 
1740,16006 
1750,16006 
1760,16006 
1770,16006 
1780,16006 
1790,16006 
1800,16006 
1810,16006 
