time,sentpackets@tsung_controller@3569fb844dae 
10,8534 
20,857.0 
30,839.0 
40,964.0 
50,1731.0 
60,15348.0 
70,15566.0 
80,15876.0 
90,15616.0 
100,15809.0 
110,15781.0 
120,15924.0 
130,15551.0 
140,15345.0 
150,15548.0 
160,15566.0 
170,15138.0 
180,15340.0 
190,15376.0 
200,15115.0 
210,15265.0 
220,15306.0 
230,15553.0 
240,15619.0 
250,15530.0 
260,15588.0 
270,15369.0 
280,15151.0 
290,15743.0 
300,15628.0 
310,15391.0 
320,15426.0 
330,16006.0 
340,15239.0 
350,15374.0 
360,15275.0 
370,15049.0 
380,15245.0 
390,15159.0 
400,15329.0 
410,15521.0 
420,15321.0 
430,15459.0 
440,15151.0 
450,15273.0 
460,15178.0 
470,15203.0 
480,15514.0 
490,15541.0 
500,15058.0 
510,15283.0 
520,15349.0 
530,15219.0 
540,15388.0 
550,15166.0 
560,15382.0 
570,15078.0 
580,15382.0 
590,15334.0 
600,15021.0 
610,15242.0 
620,15612.0 
630,15417.0 
640,1.51e4 
650,15208.0 
660,15338.0 
670,15265.0 
680,15190.0 
690,15412.0 
700,15317.0 
710,15250.0 
720,15491.0 
730,15298.0 
740,15306.0 
750,15241.0 
760,15614.0 
770,15170.0 
780,15330.0 
790,15368.0 
800,15132.0 
810,15646.0 
820,15383.0 
830,15269.0 
840,15545.0 
850,15523.0 
860,14957.0 
870,15118.0 
880,15532.0 
890,15288.0 
900,15232.0 
910,15406.0 
920,15096.0 
930,15155.0 
940,15419.0 
950,15483.0 
960,15214.0 
970,15648.0 
980,15357.0 
990,15412.0 
1000,15404.0 
1010,15311.0 
1020,15424.0 
1030,15222.0 
1040,15429.0 
1050,15226.0 
1060,15438.0 
1070,15419.0 
1080,15339.0 
1090,15248.0 
1100,15392.0 
1110,15187.0 
1120,15350.0 
1130,15176.0 
1140,14978.0 
1150,15392.0 
1160,15340.0 
1170,15082.0 
1180,15155.0 
1190,15248.0 
1200,15517.0 
1210,15551.0 
1220,15061.0 
1230,15470.0 
1240,15407.0 
1250,15226.0 
1260,15303.0 
1270,15622.0 
1280,15008.0 
1290,15120.0 
1300,15348.0 
1310,15143.0 
1330,15513.0 
1340,15652.0 
1350,1.54e4 
1360,15286.0 
1370,15588.0 
1380,15003.0 
1390,15419.0 
1400,15564.0 
1410,15321.0 
1420,15345.0 
1430,15179.0 
1440,15290.0 
1450,15452.0 
1460,15368.0 
1470,15546.0 
1480,15209.0 
1490,15363.0 
1500,15807.0 
1510,15139.0 
1520,15297.0 
1530,1.53e4 
1540,15421.0 
1550,15274.0 
1560,15317.0 
1570,15428.0 
1580,15445.0 
1590,15396.0 
1600,15288.0 
1610,15230.0 
1620,15337.0 
1630,15458.0 
1640,14885.0 
1650,15111.0 
1660,15319.0 
1670,15310.0 
1680,15027.0 
1690,15301.0 
1700,15239.0 
1710,15165.0 
1720,15368.0 
1730,15203.0 
1740,15242.0 
1750,15431.0 
1760,15154.0 
1770,15056.0 
1780,15439.0 
1790,15131.0 
1800,15217.0 
1810,15278.0 
1820,15596.0 
1830,15283.0 
1840,15120.0 
1850,15342.0 
1860,15428.0 
1870,15095.0 
1880,15415.0 
1890,15456.0 
1900,15338.0 
1910,15168.0 
1920,15257.0 
1930,15269.0 
1940,15430.0 
1950,15317.0 
1960,15027.0 
1970,15062.0 
1980,14892.0 
1990,15257.0 
2000,15154.0 
2010,15384.0 
2020,15279.0 
2030,15270.0 
2040,14982.0 
2050,15262.0 
2060,15603.0 
2070,15367.0 
2080,15055.0 
2090,15148.0 
2100,15358.0 
2110,15526.0 
2120,15248.0 
2130,15096.0 
2140,15262.0 
2150,15514.0 
2160,15156.0 
2170,14996.0 
2180,14985.0 
2190,15441.0 
2200,15229.0 
2210,15253.0 
2220,15326.0 
2230,15338.0 
2240,15586.0 
2250,15297.0 
2260,15078.0 
2270,15272.0 
2280,15190.0 
2290,15120.0 
2300,15248.0 
2310,15082.0 
2320,15452.0 
2330,15261.0 
2340,15121.0 
2350,15419.0 
2360,15305.0 
2370,15318.0 
2380,15212.0 
2390,15287.0 
2400,15379.0 
2410,15375.0 
2420,15166.0 
2430,15171.0 
2440,15460.0 
2450,15406.0 
2460,15413.0 
2470,15102.0 
2480,15444.0 
2490,15281.0 
2500,15392.0 
2510,15351.0 
2520,15312.0 
2530,15288.0 
2540,15225.0 
2550,15045.0 
2560,15296.0 
2570,15297.0 
2580,15248.0 
2590,15261.0 
2600,15166.0 
2610,15283.0 
2620,15248.0 
2630,15185.0 
2640,15183.0 
2650,15167.0 
2660,15229.0 
2670,14968.0 
2680,15588.0 
2690,15185.0 
2700,15393.0 
2710,15374.0 
2720,15185.0 
2730,15080.0 
2740,15098.0 
2750,15497.0 
2760,15276.0 
2770,15133.0 
2780,15137.0 
2790,14999.0 
2800,15043.0 
2810,15297.0 
2820,15189.0 
2830,15318.0 
2840,15446.0 
2850,14935.0 
2860,15051.0 
2870,15179.0 
2880,15527.0 
2890,14856.0 
2900,15391.0 
2910,15077.0 
2920,15157.0 
2930,15243.0 
2940,15349.0 
2950,14942.0 
2960,15102.0 
2980,15275.0 
2990,15199.0 
3000,15108.0 
3010,15334.0 
3020,15402.0 
3030,15264.0 
3040,15147.0 
3050,15266.0 
3060,15456.0 
3070,15319.0 
3080,15323.0 
3090,15068.0 
3100,15563.0 
3110,15245.0 
3120,15306.0 
3130,15373.0 
3140,15050.0 
3150,15260.0 
3160,15367.0 
3170,15317.0 
3180,15342.0 
3190,15189.0 
3200,15085.0 
3210,15107.0 
3220,15121.0 
3230,15314.0 
3240,15153.0 
3250,15260.0 
3260,15285.0 
3270,15295.0 
3280,15236.0 
3290,14992.0 
3300,15148.0 
3310,15157.0 
3320,15596.0 
3330,14990.0 
3340,15262.0 
3350,14937.0 
3360,15075.0 
3370,15173.0 
3380,15306.0 
3390,15219.0 
3400,15460.0 
3410,15383.0 
3420,15250.0 
3430,15086.0 
3440,15164.0 
3450,15142.0 
3460,15382.0 
3470,15009.0 
3480,15386.0 
3490,15331.0 
3500,15194.0 
3510,15235.0 
3520,15125.0 
3530,1.51e4 
3540,15081.0 
3550,15294.0 
3560,14999.0 
3570,15309.0 
3580,15201.0 
3590,15131.0 
3600,15305.0 
3610,15221.0 
3620,15085.0 
3630,14762.0 
3640,15047.0 
3650,15067.0 
3660,15204.0 
3670,15387.0 
3680,15131.0 
3690,15225.0 
3700,15042.0 
3710,15180.0 
3720,14918.0 
3730,14941.0 
3740,14970.0 
3750,15338.0 
3760,15092.0 
3770,14967.0 
3780,15003.0 
3790,15317.0 
3800,15272.0 
3810,15051.0 
3820,15346.0 
3830,15214.0 
3840,15144.0 
3850,15143.0 
3860,15154.0 
3870,15240.0 
3880,15173.0 
3890,14953.0 
3900,15074.0 
3910,15056.0 
3920,15061.0 
3930,15191.0 
3940,14891.0 
3950,15506.0 
3960,14954.0 
3970,14999.0 
3980,15244.0 
3990,15125.0 
4000,15090.0 
4010,14932.0 
4020,15057.0 
4030,14795.0 
4040,15161.0 
4050,15246.0 
4060,15589.0 
4070,15372.0 
4080,15169.0 
4090,15389.0 
4100,15345.0 
4110,15007.0 
4120,15023.0 
4130,15183.0 
4140,15340.0 
4150,15322.0 
4160,15067.0 
4170,15024.0 
4180,15206.0 
4190,15265.0 
4200,14984.0 
4210,15042.0 
4220,15122.0 
4230,15039.0 
4240,15084.0 
4250,15210.0 
4260,15152.0 
4270,15398.0 
4280,15432.0 
4290,15005.0 
4300,14848.0 
4310,15137.0 
4320,14939.0 
4330,15174.0 
4340,15348.0 
4350,15163.0 
4360,15425.0 
4370,15328.0 
4380,15390.0 
4390,15309.0 
4400,15124.0 
4410,15254.0 
4420,15353.0 
4430,15384.0 
4440,15221.0 
4450,14505.0 
4460,14843.0 
4470,15038.0 
4480,14910.0 
4490,15099.0 
4500,15292.0 
4510,15362.0 
4520,14967.0 
4530,15226.0 
4540,15215.0 
4550,15177.0 
4560,15247.0 
4570,15341.0 
4580,15399.0 
4590,15175.0 
4600,15153.0 
4610,1.51e4 
4620,15574.0 
4630,15254.0 
4640,15429.0 
4660,15250.0 
4670,15079.0 
4680,15336.0 
4690,15189.0 
4700,15509.0 
4710,15345.0 
4720,15307.0 
4730,14966.0 
4740,15571.0 
4750,15489.0 
4760,15350.0 
4770,15125.0 
4780,15479.0 
